Timestamp            ,X          ,Y           ,Z
1741254472.209637422 ,-2.19144   ,-0.904257   ,0.054999
1741254472.309607139 ,-2.21296   ,-0.876957   ,0.0549893
1741254472.509594218 ,-2.22969   ,-0.867512   ,0.0549911
1741254472.709659226 ,-2.2447    ,-0.872931   ,0.054996
1741254472.909928333 ,-2.25717   ,-0.831566   ,0.0549963
1741254473.10287349  ,-2.28395   ,-0.736831   ,0.054999
1741254473.110437328 ,-2.31225   ,-0.639111   ,0.0549994
1741254473.210629521 ,-2.34125   ,-0.538952   ,0.0549994
1741254473.310561942 ,-2.37097   ,-0.436333   ,0.0549988
1741254473.410564971 ,-2.40141   ,-0.331232   ,0.0549988
1741254473.510611856 ,-2.43256   ,-0.223665   ,0.0549986
1741254473.610612057 ,-2.46441   ,-0.113682   ,0.0549991
1741254473.711674656 ,-2.49696   ,-0.00128306 ,0.0549989
1741254473.811616796 ,-2.53022   ,0.113586    ,0.0549989
1741254473.912463583 ,-2.56422   ,0.23097     ,0.0549993
1741254474.12521796  ,-2.59892   ,0.350808    ,0.0549988
1741254474.112583706 ,-2.63387   ,0.47152     ,0.0549983
1741254474.212539130 ,-2.66882   ,0.592184    ,0.0549985
1741254474.312517035 ,-2.70376   ,0.712841    ,0.0549986
1741254474.412823597 ,-2.7387    ,0.833502    ,0.0549986
1741254474.512733273 ,-2.77364   ,0.954156    ,0.0549988
1741254474.613253826 ,-2.80636   ,1.06714     ,0.0549953
1741254474.713739667 ,-2.81795   ,1.10685     ,0.0549932
1741254474.913681463 ,-2.83124   ,1.11949     ,0.0549873
1741254475.113665939 ,-2.84813   ,1.11856     ,0.0549908
1741254475.313679966 ,-2.86092   ,1.11982     ,0.0549827
1741254475.614603599 ,-2.87136   ,1.12502     ,0.0549838
1741254476.15212185  ,-2.85654   ,1.14228     ,0.0549973
1741254476.115438635 ,-2.79394   ,1.21124     ,0.0549988
1741254476.215568619 ,-2.72666   ,1.29042     ,0.0549995
1741254476.315611135 ,-2.65773   ,1.37152     ,0.0549996
1741254476.415528431 ,-2.58717   ,1.45457     ,0.0549996
1741254476.515645132 ,-2.51494   ,1.53957     ,0.054999
1741254476.615647269 ,-2.44297   ,1.62427     ,0.0549974
1741254476.715803371 ,-2.4133    ,1.65929     ,0.054994
1741254476.815953004 ,-2.40618   ,1.67023     ,0.0549909
1741254477.16564438  ,-2.41482   ,1.68307     ,0.0549896
1741254477.316595475 ,-2.4262    ,1.69621     ,0.0549942
1741254477.617080713 ,-2.36229   ,1.71146     ,0.0549958
1741254477.717360882 ,-2.26528   ,1.7408      ,0.0549994
1741254477.817506824 ,-2.1658    ,1.77093     ,0.0549987
1741254477.917517462 ,-2.06389   ,1.80179     ,0.054999
1741254478.17537979  ,-1.95954   ,1.83339     ,0.0549989
1741254478.117557913 ,-1.85274   ,1.86574     ,0.0549988
1741254478.217573271 ,-1.74348   ,1.89882     ,0.0549988
1741254478.317762879 ,-1.63178   ,1.93266     ,0.0549992
1741254478.417890180 ,-1.51763   ,1.96723     ,0.0549989
1741254478.518479946 ,-1.40104   ,2.00254     ,0.0549989
1741254478.618531827 ,-1.28201   ,2.03858     ,0.0549989
1741254478.718515244 ,-1.16174   ,2.07501     ,0.0549991
1741254478.818528634 ,-1.04151   ,2.11142     ,0.0549988
1741254478.918837182 ,-0.921089  ,2.14789     ,0.0549988
1741254479.19373703  ,-0.800765  ,2.18434     ,0.0549986
1741254479.119546229 ,-0.680428  ,2.22079     ,0.0549988
1741254479.219544389 ,-0.560221  ,2.2572      ,0.0549988
1741254479.319746451 ,-0.439797  ,2.29368     ,0.0549987
1741254479.419718713 ,-0.319576  ,2.3301      ,0.0549986
1741254479.519861613 ,-0.199215  ,2.36656     ,0.0549987
1741254479.620317948 ,-0.0788388 ,2.40302     ,0.0549986
1741254479.710603848 ,0.0294915  ,2.43584     ,0.0549989
1741254479.810608237 ,0.147863   ,2.47168     ,0.0549976
